Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
14,3,104,145,0,"September 1, 2021 10:05 PM",08/31/2021,0.0,0,,0.083,15,0.096,22,0.084,0.034,-21,0.0017,-0.003,0,0.227,0.8307,15,0.308
13,3,141,206,0,"September 1, 2021 10:05 PM",08/30/2021,0.0,0,Geneseo day1,0.083,15,0.096,17,0.071,0.026,-68,0.0183,-0.003,0,0.211,0.7883,15,0.286
10,3,164,255,0,"September 1, 2021 10:05 PM",08/29/2021,-0.03,1,move in,0.083,15,0.096,20,0.063,0.031,-90,0.0321,-0.003,0,0.198,0.7701,10,0.3
8,3,129,209,0,"September 1, 2021 10:05 PM",08/28/2021,0.0,0,,0.0,0,0.096,0,0.075,-0.03,-90,0.0321,-0.003,0,0.21,0.6201,10,0.24
2,2,89,348,0,"September 1, 2021 10:05 PM",08/13/2021,0.0,0,Mike dongil,0.055,10,0.084,0,0.09,-0.03,135,-0.0722,-0.003,0,0.173,0.3718,8,0.075
2,2,70,160,0,"September 1, 2021 10:05 PM",08/12/2021,0.0,0,Jenny Ganghwa,0.0,0,0.084,0,0.096,-0.03,0,0.0,-0.003,0,0.223,0.445,8,0.075
5,3,144,167,0,"September 1, 2021 10:05 PM",08/11/2021,0.0,0,Youjoon,0.0,0,0.096,0,0.07,-0.03,29,-0.0033,-0.003,0,0.222,0.5187,9,0.167
6,4,206,214,0,"September 1, 2021 10:05 PM",08/10/2021,0.0,0,Jenny Ttukseom,0.0,0,0.108,0,0.048,-0.03,54,-0.0115,-0.003,0,0.209,0.5205,9,0.2
8,3,113,217,0,"September 1, 2021 10:05 PM",08/09/2021,0.0,0,Aunt1,0.083,15,0.096,0,0.081,-0.03,-18,0.0013,-0.003,0,0.208,0.6763,10,0.24
9,3,104,272,0,"September 1, 2021 10:05 PM",08/08/2021,-0.03,1,Mike,0.083,15,0.096,0,0.084,-0.03,0,0.0,-0.003,0,0.194,0.64,11,0.246
10,4,114,255,0,"September 1, 2021 10:05 PM",08/07/2021,0.0,0,,0.072,13,0.108,16,0.081,0.025,76,-0.0229,-0.003,0,0.198,0.7581,10,0.3
7,3,141,280,0,"September 1, 2021 10:05 PM",08/06/2021,-0.03,1,Jenny Radiostar,0.033,6,0.096,0,0.071,-0.03,-60,0.0143,-0.003,0,0.191,0.5763,9,0.234
7,4,153,230,0,"September 1, 2021 10:05 PM",08/05/2021,0.0,0,Udo to Home,0.083,15,0.108,0,0.067,-0.03,-120,0.057,-0.003,0,0.205,0.721,9,0.234
3,4,151,200,0,"September 1, 2021 10:05 PM",08/01/2021,-0.03,1,Morning swim,0.0,0,0.108,0,0.068,-0.03,-180,0.1283,-0.003,0,0.213,0.5833,7,0.129
