Multiple EST,pageId,Reading (%),Drink (%),Meditation (%),Social,Pick up (%),Multiple (%),Date,Screen Time (%),Meditation (min),Overall Satisfaction,*Phone pickups,Tech Consumption,Personal Reading,Total,Mentality,Run (km),*Finished,Drink? (over 3 beer),Rise time (%),Created,*Multiple (1~5),Productivity,Total To-do List,Rise time,Key words,*Screen time,Work done (%),Events,Books finished,Run (%),Name,Index
3.0,352a312f-2aa9-47b6-b4bb-6b39e824eb21,-0.03,0.0,0.0,⭐️⭐️⭐️⭐️,0.053,0.129,2022-09-17,0.149,0,⭐️⭐️,75,⭐️⭐️⭐️,0,0.2865,⭐️⭐️⭐️,0,1,0,-0.0715,2022-09-18T05:12:00.000Z,3.0,⭐️⭐️⭐️,5,90,"['Meetings', 'Social', 'Friends']",360,0.06,,0,-0.003,Olive Garden,0
2.8,d331a7f5-42aa-4aba-a464-98ae6ae25421,-0.03,-0.03,0.0,⭐️⭐️⭐️⭐️,0.042,0.1244,2022-09-16,0.173,0,⭐️⭐️⭐️,131,⭐️⭐️,0,0.227,⭐️⭐️⭐️,0,1,1,-0.1094,2022-09-17T03:52:00.000Z,2.8,⭐️⭐️,5,139,"['Social', 'Friends', 'Relax']",255,0.06,,0,-0.003,Games,1
1.8,9036591f-4409-4d24-b69d-103ee7ffeb01,-0.03,0.0,0.07,⭐️⭐️,0.056,0.1014,2022-09-15,0.116,10,⭐️,60,⭐️⭐️,0,0.5074,⭐️⭐️,0,5,0,-0.016,2022-09-16T03:58:00.000Z,1.8,⭐️⭐️,7,20,"['Job Search/Interview', 'Embarrassed', 'Frustration']",503,0.213,Invisible Interview,0,-0.003,Invisible interview stumble,2
2.8,123ae91a-de25-454d-8c5e-1fa5444d50b0,-0.03,0.0,0.0,⭐️⭐️⭐️⭐️,0.05,0.1244,2022-09-14,0.164,0,⭐️⭐️,90,⭐️⭐️,0,0.4544,⭐️⭐️⭐️,0,3,0,0.0,2022-09-15T03:51:00.000Z,2.8,⭐️⭐️⭐️,6,0,"['Technology', 'Job Search/Interview', 'Sleep Shortage']",294,0.149,Severe Migraine,0,-0.003,Severe Migraine,3
4.2,8357cf11-bca5-4dd0-9375-f60f61404bc4,-0.03,0.0,0.0,⭐️⭐️⭐️⭐️⭐️,0.053,0.1566,2022-09-13,0.172,0,⭐️⭐️⭐️⭐️,75,⭐️⭐️⭐️⭐️,0,0.4744,⭐️⭐️⭐️⭐️,0,5,0,-0.0232,2022-09-14T03:28:00.000Z,4.2,⭐️⭐️⭐️⭐️,10,29,"['Coding', 'Social', 'Inspired']",262,0.149,,0,-0.003,Synergetic Relationship,4
3.6,fa48a2e4-7da0-4078-81cc-2e9ba9801df2,-0.03,-0.03,0.0,⭐️⭐️⭐️⭐️,0.058,0.1428,2022-09-12,0.221,0,⭐️⭐️⭐️,48,⭐️⭐️⭐️⭐️,0,0.4796,⭐️⭐️⭐️⭐️,0,5,1,-0.0652,2022-09-13T04:05:00.000Z,3.6,⭐️⭐️⭐️,8,82,"['Job Search/Interview', 'Drink', 'Frustration']",48,0.186,Invisible Interview,0,-0.003,Invisible Interview,5
2.6,9d9ffd93-d1d5-41d3-84e2-b6783d99e307,-0.03,0.0,0.0,⭐️⭐️,0.049,0.1198,2022-09-11,0.174,0,⭐️⭐️⭐️,96,⭐️⭐️,0,0.3946,⭐️⭐️⭐️,0,3,0,-0.0272,2022-09-12T03:38:00.000Z,2.6,⭐️⭐️⭐️,8,34,"['Coding', 'Relax', 'Break']",252,0.112,,0,-0.003,Preparation for an Interview,6
3.8,c040e30a-b173-4428-b740-cb9587a9db0c,-0.03,0.0,0.0,⭐️⭐️⭐️⭐️,0.041,0.1474,2022-09-10,0.19,0,⭐️⭐️⭐️,135,⭐️⭐️⭐️⭐️,0,0.4684,⭐️⭐️⭐️⭐️,0,3,0,0.024,2022-09-11T04:24:00.000Z,3.8,⭐️⭐️⭐️⭐️,9,-30,"['Coding', 'Project', 'Focused']",184,0.099,,0,-0.003,Vocabulary Project Launched,7
4.4,faa6df54-ee9b-43bd-a8ff-09bdabab822f,-0.03,0.0,0.0,⭐️⭐️⭐️⭐️,0.05,0.1612,2022-09-09,0.197,0,⭐️⭐️⭐️⭐️,88,⭐️⭐️⭐️⭐️⭐️,0,0.512,⭐️⭐️⭐️⭐️⭐️,0,3,0,0.0248,2022-09-10T04:59:00.000Z,4.4,⭐️⭐️⭐️⭐️,8,-31,"['Coding', 'Social', 'Friends']",152,0.112,,0,-0.003,Friday Night,8
4.8,8f11b954-cfdd-416f-83d5-44f1eb3bf97f,-0.03,0.0,0.078,⭐️⭐️⭐️⭐️⭐️,0.05,0.1704,2022-09-08,0.207,11,⭐️⭐️⭐️⭐️⭐️,88,⭐️⭐️⭐️⭐️⭐️,0,0.7312,⭐️⭐️⭐️⭐️⭐️,0,8,0,0.0208,2022-09-09T03:36:00.000Z,4.8,⭐️⭐️⭐️⭐️,10,-26,"['Coding', 'Job Search/Interview', 'Proud']",111,0.238,Invisible Interview,0,-0.003,Interview Invisible,9
